ID,T_NEA,T_NEB,T_NEC,T_SEA,T_SEB,T_SEC,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj,NL_SL,NL_SL_foldChange,NL_SL_padj,NX_SX,NX_SX_foldChange,NX_SX_padj
WBGene00004119,136.310871585027,239.474421504105,267.366768284888,386.931159565729,660.799122204525,571.248336852395,377.021779999445,1.33150232178417,0.401195340336124,10.6787652329171,0.0010837237536649,0.0026917936829242,2.51664604433108,2.56995823040694,False,,,True,2.81707555366495,1.51832936741283e-05
WBGene00004120,37.6029990579385,31.929922867214,74.1601255096771,61.6974514113918,432.177816706178,857.274227034466,249.140423764478,3.23024016395107,0.852323050280695,12.2182680551319,0.0004732384188144,0.0013846666818446,9.38424164883439,2.85865475776006,True,18.508532137488,1.78674093391932e-06,True,7.97538807890579,1.03147443295435e-07
WBGene00004122,166.863308319602,220.848633164897,280.052052911544,363.133571164192,536.234689972867,756.040344554294,387.195433347899,1.30902042980115,0.406382954054096,10.0687583724097,0.0015080462479614,0.0035295909877885,2.47773248213988,2.45227561813573,False,,,True,2.48220587266836,0.0006651763717234
WBGene00004123,64.6301546308318,54.546951564824,89.7727835117144,104.004275236346,303.056149148972,363.959910821568,163.328370819043,1.88132336178056,0.554204588586587,10.8858404137416,0.0009690220167632,0.0024568015442411,3.68412844691318,2.60962992358582,False,,,True,4.83035996349145,4.53101382382851e-05
WBGene00004127,12.9260309261664,10.6433076224047,24.3947781281833,20.2720197494573,162.541393277895,324.591178745946,92.561451408342,3.39597896913424,0.90936483526969,11.9036383136084,0.0005602440825582,0.0015865847213748,10.5266827465505,2.79953673223472,True,12.9768757614547,0.0004261066971555,True,16.9739590246716,6.44730766137814e-08
WBGene00004131,857.818416009222,979.184301261231,878.212012614597,2062.45766146653,2318.11370226231,2484.24733832293,1596.67223865614,1.33854696490856,0.201779026580342,42.6275482878337,6.62201599839509e-11,4.43701559956465e-09,2.52896481448428,8.3529090443975,False,,,True,2.16859052223571,3.72960253579769e-05
WBGene00004133,28.2022492934539,35.9211632256158,64.4022142584038,79.3252946717895,401.796247869188,705.423403314209,219.17842877211,3.20363146413425,0.771963083215583,14.7356909593846,0.0001236826363664,0.0005016483878386,9.21274744556709,3.29960057911956,True,11.1227573553978,3.54881057088128e-06,True,7.33551575944648,2.09777534953917e-08
WBGene00004135,155.112371113996,154.327960524868,128.804428516808,261.773472416905,351.666659288155,384.045998615253,239.288481745998,1.18877279892898,0.287350212471897,16.7695510404324,4.22051365889763e-05,0.0002282766484561,2.27958751905382,3.64153851236141,True,3.27466292320208,2.18029637510398e-06,True,2.57117147183991,0.0002064971535731
WBGene00004144,45.8286551018625,53.2165381120234,60.4990497578945,237.975884015368,151.907844184948,168.723137466952,119.691851439842,1.80420542513799,0.345998120098966,26.2976776093293,2.92640363202774e-07,5.17636612883808e-06,3.49236760685098,5.2859750132299,True,2.8628593763404,3.11296723970571e-05,True,3.86097783660266,6.54088948304327e-08
WBGene00004145,86.9569353214828,135.70217218566,149.296042144482,212.415511287792,324.323247334865,384.045998615253,215.456651148256,1.3072129399773,0.391206265202907,10.8650678982321,0.0009799515836745,0.0024769408200077,2.47463018272933,2.60608436961565,False,,,True,2.30139226919596,0.002377452727694
WBGene00004154,14.1011246467269,38.581990131217,68.3053787589131,69.6299808785707,335.716335648736,319.770517675461,141.017554623271,2.57973273242081,0.768704082499973,10.1403469299925,0.0014505885982298,0.0034176124543791,5.97828937935077,2.46627718633942,True,4.55321169683062,0.00146135628912,True,5.73658120789449,6.44525929326002e-08
WBGene00004169,227.968181788752,226.170286976099,199.061389525975,675.14639687323,650.165573111579,782.553980441958,460.177634786266,1.69154376775421,0.222871282020142,55.3325647204836,1.01768556254682e-13,1.42060423818516e-11,3.23002149952652,10.8475268940018,False,,,True,2.15233010036217,0.0001429479861249
WBGene00004172,367.804334535461,308.655921049736,232.238287780305,852.306221640227,596.238288425922,632.310043745196,498.258849529474,1.19613621387023,0.318026050571195,13.7915872391667,0.0002042487808297,0.0007313748028385,2.29125211720309,3.13586000595676,False,,,False,,
WBGene00004173,155.112371113996,129.050104921657,150.271833269609,234.450315363289,422.303806834156,267.546689411881,226.455853485765,1.08897432484045,0.349205008058799,9.54771888189692,0.0020019805893722,0.0044625895309247,2.12722748789569,2.35041305773768,False,,,True,2.10595827279696,0.0005425097516079
WBGene00004183,101.05805996821,107.763489676847,83.9180367609504,274.994354862203,271.915041091057,254.691593223923,182.390095930532,1.45767862168328,0.2491500342206,33.5364947518907,6.99393101931237e-09,2.46124660723743e-07,2.74666054580648,6.60884486951673,False,,,False,,
WBGene00004184,388.956021505551,368.524526425762,384.461703300168,766.811181827298,854.481623540334,1021.98014694268,630.869200590299,1.21074165037344,0.229038542705481,27.2847183885975,1.75593701419195e-07,3.53955486458837e-06,2.31456591755995,5.45105135153592,False,,,True,2.4329749529912,3.22242011079502e-06
